host_response_rate,host_acceptance_rate,host_listings_count,city,state,zipcode,latitude,longitude,accommodates,bedrooms,bathrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews
100%,100%,1,Washington,DC,20009,38.91354821,-77.03198082,2,1,1,1,$125.00,$300.00,,1,4,149
100%,100%,1,Washington,DC,20001,38.90880928,-77.02697074,6,2,1,2,$145.00,,$93.00,1,1125,54
100%,81%,2,Washington,DC,20005,38.90804833,-77.03377151,2,,1,,$130.00,$100.00,$7.00,1,2,1
98%,52%,49,Washington,DC,20005,38.90835617,-77.02814591,3,1,1,2,$185.00,,,2,14,1
92%,91%,26,Washington,DC,20001,38.90616013,-77.02354671,7,2,1,6,$225.00,$100.00,$130.00,1,1125,11
N/A,N/A,1,Washington,DC,20009,38.91354339,-77.02871304,4,2,2,2,$130.00,$300.00,$100.00,1,1125,1
91%,69%,8,Washington,DC,20001,38.90800326,-77.02517125,6,2,1.5,2,$178.00,,$75.00,1,1125,4
100%,94%,12,Washington,DC,20001,38.90613171,-77.02479089,1,1,1,1,$80.00,,,3,32,98
100%,88%,1,Washington,DC,20001,38.91361895,-77.02271555,1,1,1,1,$90.00,,$35.00,3,1125,20
100%,100%,1,Washington,DC,20009,38.91173402,-77.03376569,2,2,1,1,$125.00,,,1,3,7
92%,100%,4,Washington,DC,20001,38.91304133,-77.01949157,4,1,1,2,$120.00,,$40.00,2,1125,85
100%,N/A,1,Washington,DC,20005,38.90605989,-77.02936088,1,0,1,1,$80.00,$500.00,,3,9,0
100%,100%,1,Washington,DC,20001,38.90922949,-77.01974036,2,1,1,1,$100.00,,$40.00,2,1125,0
100%,77%,2,Washington,DC,20005,38.90872887,-77.02939579,2,1,1,1,$105.00,$100.00,$20.00,2,7,18
100%,91%,3,Washington,DC,20005,38.9072494,-77.03381189,2,0,1,1,$128.00,,$55.00,1,1125,7
91%,69%,8,Washington,DC,20005,38.90978675,-77.03317953,6,2,1,4,$300.00,,,1,1125,5
90%,100%,1,Washington,DC,20009,38.9139031,-77.03366367,4,2,1.5,2,$275.00,,$125.00,4,1125,19
100%,100%,2,Washington,DC,20009,38.91233913,-77.02929863,3,1,1,1,$200.00,,$50.00,2,1125,2
100%,63%,2,Washington,DC,20005,38.90649733,-77.03349444,5,2,1,3,$280.00,,$69.00,2,40,11
100%,100%,2,Washington,DC,20001,38.90966412,-77.0209262,2,1,1.5,1,$99.00,,$25.00,2,1125,20
N/A,100%,1,Washington,DC,20005,38.90731347,-77.03133492,5,2,2,2,$175.00,,,1,1125,1
100%,90%,1,Washington,DC,20005,38.90674896,-77.02892874,1,1,1,1,$97.00,$100.00,$11.00,1,1125,15
100%,95%,5,Washington,DC,20001,38.91109111,-77.02115831,3,1,1,2,$130.00,,$30.00,3,1125,23
98%,52%,49,Washington,DC,20005,38.90879213,-77.02942369,2,1,1,1,$215.00,,,2,14,0
90%,50%,1,Washington,DC,20001,38.90610794,-77.02674843,2,1,1,1,$75.00,$500.00,,14,30,4
98%,52%,49,Washington,DC,20005,38.9095871,-77.02756523,4,1,1,2,$185.00,,,2,14,1
100%,81%,2,Washington,DC,20005,38.90791403,-77.03447902,1,1,1,1,$70.00,,$7.00,1,1125,19
67%,100%,1,Washington,DC,20005,38.9070151,-77.0335237,2,0,1,1,$97.00,,,1,1125,0
75%,100%,1,Washington,DC,20001,38.9105533,-77.02329955,3,1,1,1,$130.00,$150.00,,2,1125,2
100%,100%,1,Washington,DC,20005,38.90733919,-77.03325183,2,1,1,1,$120.00,,,1,1125,3
N/A,N/A,1,Washington,DC,20001,38.9062568,-77.02662399,4,1,1,1,$110.00,$110.00,$60.00,2,2,1
100%,100%,1,Washington,DC,20009,38.91394312,-77.02719363,2,1,1.5,1,$225.00,,,2,1125,2
92%,91%,26,Washington,DC,20001,38.90790896,-77.02564752,4,1,1,3,$140.00,$100.00,$100.00,1,1125,6
100%,29%,2,Washington,DC,20001,38.91118191,-77.02281954,2,1,2,1,$160.00,$100.00,,1,1125,8
100%,97%,3,Washington,DC,20005,38.908334,-77.03318199,2,1,1,1,$125.00,,,1,110,116
100%,0%,1,Washington,DC,20005,38.90987976,-77.02956583,2,1,1.5,1,$150.00,,,3,1125,4
100%,86%,1,Washington,DC,20009,38.91170685,-77.03245592,1,1,1,1,$90.00,$150.00,$25.00,2,1125,4
98%,79%,6,Washington,DC,20005,38.90780028,-77.03452886,16,8,8,16,"$1,250.00",,,1,1125,0
100%,94%,2,Washington,DC,20001,38.90592892,-77.01831691,8,4,2.5,4,$390.00,$150.00,$100.00,2,1125,1
100%,100%,1,Washington,DC,20005,38.91370968,-77.03214536,2,1,1,1,$100.00,$100.00,$50.00,1,60,16
90%,100%,1,Washington,DC,20001,38.90995426,-77.02472153,2,1,1,1,$150.00,,,2,6,7
80%,100%,1,Washington,DC,20005,38.90584292,-77.03123953,4,1,1,1,$95.00,$400.00,$75.00,3,365,13
91%,69%,8,Washington,DC,20001,38.90760149,-77.02421763,7,3,1.5,4,$250.00,,,1,1125,6
100%,100%,1,Washington,DC,20001,38.90938728,-77.01830341,2,1,1,1,$65.00,,$5.00,1,29,26
60%,100%,1,Washington,DC,20005,38.91058602,-77.02855007,1,1,1,1,$70.00,,,4,1125,1
83%,100%,1,Washington,DC,20001,38.91135371,-77.0175449,7,3,1.5,4,$290.00,,$100.00,2,90,36
100%,99%,4,Washington,DC,20005,38.91084691,-77.03031295,2,1,1,1,$120.00,,$15.00,1,1125,133
100%,80%,1,Washington,DC,20005,38.90677846,-77.03370672,6,1,1,3,$130.00,,$30.00,2,1125,4
100%,100%,2,Washington,DC,20001,38.90780579,-77.01645952,2,1,1,1,$84.00,,$25.00,3,21,22
100%,11%,1,Washington,DC,20001,38.90922464,-77.02124861,2,1,1,1,$129.00,,$25.00,1,1125,1
100%,100%,1,Washington,DC,20005,38.90740591,-77.03448303,3,0,1,1,$125.00,,$30.00,1,1125,2
100%,0%,1,Washington,DC,20005,38.90703054,-77.02950952,3,1,1,1,$150.00,,,1,1125,5
100%,50%,1,Washington,DC,20001,38.90926522,-77.02243182,3,1,1,1,$130.00,,$50.00,2,1125,5
100%,25%,1,Washington,DC,20005,38.91052743,-77.03188264,2,1,1,1,$210.00,$150.00,$45.00,3,20,11
100%,100%,1,Washington,DC,20009,38.91269045,-77.03044625,6,3,2.5,3,$497.00,$750.00,$140.00,1,1125,51
99%,98%,222,Washington,DC,20005,38.90681117,-77.03421638,2,0,1,1,$100.00,$300.00,$95.00,3,1125,1
86%,100%,1,Washington,DC,20001,38.91161014,-77.02156594,6,2,3,2,$300.00,,$75.00,1,1125,1
100%,57%,1,Washington,DC,20009,38.91272549,-77.03376642,3,0,1,2,$108.00,$200.00,$65.00,1,1125,1
N/A,N/A,1,Washington,DC,20001,38.90617193,-77.01557918,6,2,2.5,2,$300.00,,,4,1125,0
92%,95%,1,Washington,DC,20005,38.90955503,-77.03106763,4,1,1,2,$75.00,,,1,1125,4
100%,100%,1,Washington,DC,20001,38.90808866,-77.02390737,2,1,1,1,$120.00,$100.00,$40.00,1,14,15
58%,51%,480,Washington,DC,20005,38.9078258,-77.03165388,2,1,1,1,$249.00,,,4,730,0
100%,100%,1,Washington,DC,20009,38.91234205,-77.03261877,2,1,1,1,$100.00,,,1,1125,1
41%,93%,1,Washington,DC,20005,38.90748903,-77.03288909,4,1,1,1,$125.00,$100.00,,2,365,27
100%,100%,1,Washington,DC,20001,38.90734959,-77.02401886,1,0,1,1,$145.00,,,1,1125,2
100%,77%,2,Washington,DC,20005,38.90925326,-77.03075934,4,2,2,2,$330.00,$500.00,$60.00,2,1125,17
100%,100%,1,Washington,DC,20001,38.91258071,-77.02005893,1,1,1,1,$60.00,$100.00,,2,93,6
90%,100%,1,Washington,DC,20001,38.91067688,-77.01777737,2,1,1.5,1,$69.00,$100.00,$50.00,1,1125,77
100%,95%,5,Washington,DC,20001,38.91179169,-77.02151875,4,1,1,2,$130.00,,$30.00,3,1125,15
100%,100%,1,Washington,DC,20005,38.90878552,-77.03344998,2,1,1,1,$129.00,$250.00,,3,90,71
58%,51%,480,Washington,DC,20005,38.90890246,-77.03197399,2,1,1,1,$249.00,,,4,730,0
98%,79%,6,Washington,DC,20005,38.9074778,-77.03341904,6,1,1,3,$79.00,,$40.00,1,29,2
94%,94%,2,Washington,DC,20005,38.91227079,-77.02872202,4,1,1,2,$164.00,$400.00,$60.00,2,365,23
98%,79%,6,Washington,DC,20005,38.90739874,-77.03326544,6,2,2,3,$164.00,,$40.00,1,27,0
90%,60%,1,Washington,DC,20001,38.91163686,-77.02306776,4,2,2,2,$299.00,,$50.00,1,1125,9
100%,100%,1,Washington,DC,20005,38.90669062,-77.03341277,2,1,1,1,$130.00,$120.00,$20.00,2,8,10
63%,75%,1,Washington,DC,20001,38.90774809,-77.02323209,2,1,1,1,$125.00,,,2,4,8
N/A,N/A,1,Washington,DC,20001,38.90900226,-77.02637332,2,1,1,1,$190.00,,,2,6,0
N/A,N/A,1,Washington,DC,20001,38.90925637,-77.02009675,2,1,1.5,1,$125.00,,,1,3,0
79%,72%,3,Washington,DC,20001,38.90965484,-77.02475022,2,1,1,1,$65.00,$200.00,$40.00,3,365,3
100%,50%,1,Washington,DC,20005,38.90740577,-77.02685815,2,1,1.5,1,$75.00,,$30.00,2,14,15
100%,100%,1,Washington,DC,20009,38.91366328,-77.03148933,1,1,2,1,$85.00,,,1,1125,1
92%,76%,206,Washington,DC,20005,38.90637287,-77.02995567,5,2,2,3,$229.00,,$100.00,3,1125,0
92%,91%,26,Washington,DC,20001,38.90908821,-77.02315786,15,6,3,9,$500.00,$100.00,$150.00,1,28,41
100%,100%,1,Washington,DC,20005,38.90825011,-77.0339272,6,1,1,4,$250.00,,$20.00,1,14,6
N/A,N/A,1,Washington,DC,20001,38.90642773,-77.02500999,5,1,1,2,$117.00,,$50.00,6,1125,6
100%,100%,3,Washington,DC,20001,38.90688821,-77.02508377,11,3,2.5,3,$298.00,,$150.00,2,60,69
92%,91%,26,Washington,DC,20001,38.90641244,-77.0238832,6,2,1,4,$200.00,$100.00,$130.00,1,1125,8
100%,100%,4,Washington,DC,20005,38.90910736,-77.03007565,4,1,1,2,$110.00,$100.00,$40.00,1,1125,0
100%,99%,4,Washington,DC,20005,38.90827372,-77.03156698,2,0,1,1,$120.00,,$15.00,1,1125,38
100%,95%,5,Washington,DC,20001,38.9116393,-77.02218697,10,3,3,6,$450.00,,$100.00,2,1125,6
100%,100%,1,"Washington, D.C.",DC,20001,38.91167457,-77.01797135,4,1,1,2,$99.00,$500.00,$70.00,2,365,54
75%,N/A,1,Washington,DC,20001,38.90756586,-77.01857718,8,2,0,4,$275.00,$300.00,$75.00,2,7,7
98%,52%,49,Washington,DC,20005,38.90867392,-77.02894399,2,1,1,1,$185.00,,,2,14,0
100%,100%,1,Washington,DC,20001,38.91160124,-77.02265354,5,1,1,2,$120.00,,$50.00,1,1125,2
100%,67%,1,Washington,DC,20005,38.90822082,-77.03307545,2,0,1,1,$150.00,,,1,1125,4
80%,100%,1,Washington,DC,20001,38.90898653,-77.02200798,3,1,1,1,$121.00,$300.00,$60.00,1,7,2
N/A,N/A,1,Washington,DC,20005,38.90639013,-77.03019388,2,1,1,1,$75.00,$100.00,,1,1125,0
86%,100%,1,Washington,DC,20001,38.91123737,-77.02883244,2,0,1,1,$105.00,$500.00,,4,32,26
70%,100%,1,Washington,DC,20005,38.91009109,-77.03309452,2,0,1,1,$150.00,,$40.00,1,1125,4
100%,67%,1,Washington,DC,20005,38.9078576,-77.031461,4,0,1,1,$100.00,,$10.00,2,1125,4
58%,51%,480,Washington,DC,20229,38.90716633,-77.02323502,4,2,2,2,$249.00,,$150.00,7,365,0
100%,100%,1,Washington,DC,20001,38.90706106,-77.02587127,5,2,1,2,$275.00,,$80.00,2,1125,15
100%,95%,3,Washington,DC,20001,38.91112654,-77.02193025,4,2,2,2,$160.00,$250.00,$25.00,2,1125,12
20%,100%,1,Washington,DC,20009,38.9109845,-77.02986831,6,3,3.5,3,$475.00,$500.00,$200.00,3,1125,1
100%,100%,1,Washington,DC,20001,38.90972748,-77.02043989,2,0,1,1,$115.00,,$50.00,3,365,41
100%,97%,3,Washington,DC,20001,38.9105398,-77.02278347,6,1,2.5,16,$45.00,,,1,1125,2
80%,100%,1,Washington,DC,20001,38.90994089,-77.02001673,6,2,2.5,2,$150.00,,$75.00,3,29,51
76%,50%,1,Washington,DC,20001,38.90581546,-77.02100049,2,1,1,1,$90.00,,,3,1125,5
100%,100%,1,Washington,DC,20009,38.9125166,-77.02909001,4,1,1,2,$217.00,$150.00,$50.00,4,1125,5
80%,100%,1,Washington,DC,20005,38.91108857,-77.02952076,2,1,2,1,$97.00,,$25.00,2,14,5
100%,93%,6,Washington,DC,20009,38.90787361,-77.02636702,14,5,3,7,$399.00,$500.00,$150.00,1,1125,2
80%,79%,1,Washington,DC,20005,38.90663451,-77.0323012,4,0,1,2,$118.00,$95.00,$35.00,1,14,28
97%,100%,6,Washington,DC,20001,38.90692167,-77.02423792,4,1,1,2,$130.00,$400.00,$75.00,4,90,31
100%,97%,3,Washington,DC,20001,38.91191827,-77.0219052,6,1,1,6,$36.00,,,1,1125,11
100%,N/A,1,Washington,DC,20005,38.90866474,-77.02947268,4,1,1,1,$100.00,,,1,1125,0
100%,100%,1,Washington,DC,20005,38.90819766,-77.03113427,3,1,1,1,$125.00,,$50.00,2,1125,1
100%,95%,5,Washington,DC,20001,38.91080779,-77.02158954,7,1,2,4,$300.00,,$60.00,3,1125,8
N/A,N/A,1,Washington,DC,20001,38.90675075,-77.01692981,4,2,2,2,$199.00,,,2,366,0
100%,83%,1,Washington,DC,20005,38.9081169,-77.02831976,4,2,1.5,2,$150.00,,$30.00,1,1125,2
100%,100%,1,Washington,DC,20005,38.90675753,-77.0337719,2,0,1,1,$125.00,,$35.00,2,10,23
100%,86%,1,Washington,DC,20005,38.90668572,-77.03305248,2,1,1,1,$110.00,,,1,30,157
100%,50%,1,Washington,DC,20005,38.90912047,-77.03299149,4,2,2,2,$320.00,$500.00,$120.00,3,1125,0
80%,69%,2,Washington,DC,20001,38.90710141,-77.02439194,2,1,1,1,$88.00,,$65.00,1,1125,1
100%,67%,1,Washington,DC,20001,38.90658075,-77.01686433,5,3,3,2,$329.00,$300.00,$50.00,1,1125,4
83%,33%,1,Washington,DC,20009,38.91300639,-77.02938474,2,1,1,1,$99.00,,,1,1125,3
100%,89%,2,Washington,DC,20019,38.88868009,-76.92996784,1,1,1,1,$59.00,$100.00,$10.00,2,1125,8
100%,100%,1,Washington,DC,20019,38.88910905,-76.93597782,6,2,1,2,$70.00,$100.00,$25.00,3,365,80
75%,N/A,1,Washington,DC,20019,38.88806449,-76.92573115,2,1,1,1,$75.00,,,1,1125,0
100%,94%,2,Washington,DC,20019,38.88957383,-76.91835422,3,1,1,3,$70.00,$200.00,,1,14,9
N/A,N/A,1,Washington,DC,20019,38.88624051,-76.93040392,1,1,1,1,"$1,300.00",,,1,1125,0
100%,100%,1,Washington,DC,20019,38.8862843,-76.92942258,1,1,1,1,$58.00,,$10.00,2,20,6
100%,89%,2,Washington,DC,20019,38.88866728,-76.92912919,2,1,1,1,$55.00,,$10.00,1,1125,1
100%,94%,2,Washington,DC,20019,38.88879959,-76.91753601,2,1,1,1,$47.00,$200.00,,1,1125,50
100%,70%,1,Washington,DC,20007,38.91377004,-77.08336527,2,1,1,1,$60.00,$100.00,$20.00,1,31,36
50%,N/A,1,Washington,DC,20016,38.92890364,-77.0841544,4,1,1,2,$135.00,$175.00,$70.00,2,7,4
99%,96%,32,Washington,DC,20007,38.91988025,-77.09795841,3,1,1,2,$89.00,$100.00,$45.00,4,120,75
92%,100%,1,Washington,DC,20016,38.92999849,-77.10048694,6,1,1,5,$150.00,,$20.00,1,1125,18
100%,N/A,2,Washington,DC,20016,38.93450346,-77.11033727,1,1,1,1,$65.00,,$50.00,1,1125,1
99%,96%,32,Washington,DC,20016,38.92527003,-77.10129075,5,1,1,2,$109.00,$100.00,$45.00,2,365,28
99%,96%,32,Washington,DC,20016,38.92624428,-77.10301284,4,,1,3,$99.00,$100.00,$45.00,2,365,68
100%,100%,1,Washington,DC,20007,38.90592217,-77.08163891,2,1,1,1,$69.00,,,2,1125,17
50%,N/A,2,Washington,DC,20016,38.92197341,-77.10245906,4,2,2.5,2,$300.00,"$1,200.00",$125.00,7,1125,0
100%,100%,1,Washington,DC,20007,38.90865111,-77.0881346,4,1,1,2,$114.00,,,3,1125,18
80%,N/A,3,Washington,DC,20007,38.90996419,-77.08732268,1,1,1,1,$100.00,$250.00,$50.00,4,1125,0
90%,100%,2,Washington,DC,20016,38.92883573,-77.10039832,1,1,1,1,$69.00,$200.00,$150.00,2,365,5
100%,100%,1,Washington,DC,20016,38.94160194,-77.0964612,6,3,3.5,4,$350.00,$500.00,$100.00,2,1125,1
90%,100%,1,Washington,DC,20016,38.92899263,-77.10226971,1,1,1,1,$100.00,,$40.00,2,180,13
80%,N/A,3,Washington,DC,20007,38.91014763,-77.08676548,1,1,1,1,$115.00,$250.00,$50.00,4,1125,0
99%,96%,32,Washington,DC,20016,38.92521707,-77.10218795,2,,1,1,$99.00,$100.00,$45.00,2,365,19
83%,67%,1,Washington,DC,20016,38.92121727,-77.10020546,1,1,1,1,$43.00,$250.00,$50.00,1,1125,0
50%,100%,1,Washington,DC,20007,38.91114433,-77.08219994,1,1,1,1,$50.00,,,1,1125,0
100%,N/A,2,Washington,DC,20007,38.90908893,-77.08195944,9,4,2,4,$380.00,$490.00,$140.00,3,1125,1
50%,N/A,2,Washington,DC,20016,38.9231984,-77.1016631,2,1,1,1,$80.00,$250.00,$50.00,3,365,14
99%,96%,32,Washington,DC,20016,38.92150061,-77.09907969,2,1,1,1,$149.00,$100.00,$45.00,4,109,8
80%,100%,1,Washington,DC,20007,38.90969577,-77.08711966,1,1,1,1,$39.00,,,1,1125,0
N/A,N/A,1,Washington,DC,20016,38.93394651,-77.1095222,3,1,1,3,$50.00,"$1,500.00",$50.00,1,1125,1
99%,89%,25,Washington,DC,20007,38.90707678,-77.07991414,5,0,1,1,$115.00,$300.00,$85.00,3,1125,15
N/A,N/A,1,Washington,DC,20016,38.93160736,-77.0919115,9,5,3.5,6,$850.00,,,1,1125,0
100%,N/A,2,Washington,DC,20016,38.9357251,-77.11052535,1,1,1,1,$58.00,,$50.00,14,1125,0
100%,100%,2,Washington,DC,20007,38.91845807,-77.09478867,11,6,4.5,11,$650.00,$500.00,$200.00,7,1125,2
100%,N/A,1,Washington,DC,20007,38.91491571,-77.08990702,4,1,1,2,$150.00,$500.00,$50.00,6,30,5
80%,75%,2,Washington,DC,20016,38.94320288,-77.09382816,2,1,1,1,$99.00,$500.00,$20.00,2,45,1
99%,96%,32,Washington,DC,20016,38.92507977,-77.10255883,4,,1,2,$110.00,$100.00,$55.00,2,365,33
50%,67%,1,Washington,DC,20007,38.90915338,-77.08775921,1,1,1,1,$40.00,,,1,1125,0
80%,N/A,3,Washington,DC,20007,38.91136171,-77.08716658,2,1,1,1,$110.00,$250.00,$50.00,4,1125,0
80%,0%,1,Washington,DC,20007,38.91793494,-77.09602295,3,1,1,1,$165.00,,$25.00,1,1125,4
100%,N/A,2,Washington,DC,20007,38.91896129,-77.09811727,5,1,2.5,4,$600.00,"$1,000.00",$100.00,4,1125,0
50%,0%,1,Washington,DC,20016,38.92290037,-77.09821335,8,5,4,6,$299.00,$200.00,$100.00,2,1125,8
N/A,N/A,1,Washington,DC,20007,38.90987734,-77.08078886,2,1,1,2,$120.00,,$30.00,1,1125,1
50%,N/A,1,Washington,DC,20007,38.90606293,-77.08050008,6,3,2.5,4,$260.00,$200.00,$130.00,3,60,28
100%,100%,1,Washington,DC,20007,38.91079535,-77.08720993,2,1,1,1,$125.00,,$50.00,1,1125,4
100%,100%,1,Washington,DC,20016,38.93252294,-77.08725139,8,4,4.5,5,$500.00,$500.00,$200.00,3,1125,8
100%,0%,1,Washington,DC,20016,38.9292605,-77.08502431,3,1,1,2,$175.00,,$25.00,1,1125,2
91%,95%,4,Washington,DC,20019,38.90501057,-76.9413193,1,1,2,1,$33.00,$100.00,,1,1125,10
91%,95%,4,Washington,DC,20019,38.9065542,-76.94186525,3,1,1,3,$40.00,$100.00,,1,1125,46
100%,89%,2,Washington,DC,20019,38.90644939,-76.94305004,2,1,2,1,$60.00,,$10.00,1,365,67
91%,95%,4,Washington,DC,20019,38.90678685,-76.9424764,2,1,1,2,$33.00,$100.00,,1,1125,34
100%,89%,2,Washington,DC,20019,38.90728232,-76.94338545,1,1,1,1,$50.00,,$10.00,1,1125,7
100%,100%,1,Washington,DC,20002,38.90475608,-76.97936593,2,1,1,1,$49.00,,$25.00,1,1125,11
95%,96%,3,Washington,DC,20002,38.90137679,-76.97560746,1,1,1,3,$38.00,$450.00,$60.00,2,1125,2
100%,100%,1,Washington,DC,20002,38.91251412,-76.98640926,2,1,1,1,$65.00,,,1,1125,2
100%,100%,1,Washington,DC,20002,38.90685742,-76.98376367,2,1,1,1,$49.00,,,1,1125,3
100%,100%,2,Washington,DC,20002,38.90580563,-76.99576675,2,1,1,1,$59.00,,,2,11,66
N/A,N/A,1,Washington,DC,20002,38.90082118,-76.97388088,4,2,2,2,$200.00,$250.00,$70.00,2,28,0
96%,90%,4,Washington,DC,20002,38.90191591,-76.9881605,5,1,1,3,$113.00,$100.00,$50.00,1,1125,0
100%,50%,2,Washington,DC,20002,38.90306279,-76.99040045,8,4,2,4,$250.00,$200.00,,2,1125,13
95%,96%,3,Washington,DC,20002,38.89970567,-76.97547308,6,1,1,3,$65.00,$550.00,$60.00,2,365,9
100%,100%,2,Washington,DC,20002,38.91074359,-76.98531415,5,3,2.5,4,$169.00,,$75.00,4,30,4
100%,N/A,1,Washington,DC,20002,38.90132179,-76.98635601,16,1,1,1,"$1,000.00",,,1,1125,0
100%,N/A,1,Washington,DC,20002,38.91292246,-76.98868472,4,1,1,1,$99.00,,$45.00,1,1125,0
100%,100%,3,Washington,DC,20002,38.90525621,-76.99598748,4,2,1,2,$145.00,,$50.00,3,1125,6
20%,N/A,1,Washington,DC,20002,38.90450111,-76.97537357,2,2,1,2,$115.00,,$75.00,1,1125,4
100%,100%,1,Washington,DC,20002,38.90567242,-76.9793752,2,1,1,1,$100.00,$600.00,$25.00,1,1125,11
88%,88%,1,Washington,DC,20002,38.90612847,-76.99653819,2,1,1,1,$55.00,,,3,1125,4
100%,N/A,1,Washington,DC,20002,38.9006924,-76.97497778,1,1,1,1,$55.00,,,1,1125,0
95%,96%,3,Washington,DC,20002,38.90162682,-76.97426362,1,1,1,1,$34.00,$500.00,$60.00,1,1125,0
100%,98%,3,Washington,DC,20002,38.90464647,-76.9875944,4,1,1,1,$99.00,$200.00,$45.00,2,365,13
100%,0%,1,Washington,DC,20002,38.90556436,-76.98281608,4,2,1.5,2,$105.00,,,1,1125,0
100%,100%,1,Washington,DC,20002,38.90586331,-76.98255658,4,2,1,3,$125.00,,$50.00,1,1125,1
64%,97%,2,Washington,DC,20002,38.90515878,-76.98420648,2,1,1,1,$44.00,$400.00,$15.00,2,1125,4
67%,100%,1,Washington,DC,20002,38.90503808,-76.97706226,2,0,1,1,$67.00,$250.00,$10.00,1,6,2
96%,90%,4,Washington,DC,20002,38.90275571,-76.98652014,1,1,1,1,$43.00,$95.00,$20.00,1,1125,0
N/A,N/A,1,Washington,DC,20002,38.90203589,-76.98055774,1,1,1,1,$30.00,,$5.00,1,1,1
96%,90%,4,Washington,DC,20002,38.90269072,-76.98808414,7,3,1.5,4,$192.00,$200.00,$75.00,1,1125,3
64%,97%,2,Washington,DC,20002,38.9034236,-76.98402865,2,1,1,1,$46.00,$400.00,$15.00,2,100,4
100%,100%,2,Washington,DC,20002,38.90290409,-76.98986208,2,1,1,1,$95.00,$100.00,$50.00,3,1125,0
100%,100%,1,Washington,DC,20002,38.90410826,-76.98626614,7,3,2.5,3,$175.00,$250.00,$40.00,3,1125,0
90%,100%,1,Washington,DC,20002,38.90265393,-76.98184664,2,1,1,1,$65.00,$100.00,$15.00,1,160,27
90%,90%,1,Washington,DC,20002,38.90016947,-76.97684485,3,1,1,1,$79.00,,,1,1125,5
100%,100%,3,Washington,DC,20002,38.90475912,-76.98491951,1,1,,1,$99.00,,,2,730,7
100%,100%,3,Washington,DC,20002,38.90466607,-76.9862679,1,1,,1,$99.00,,,2,730,4
100%,100%,1,Washington,DC,20002,38.90133327,-76.9848842,6,3,2,3,$299.00,,$100.00,2,29,25
N/A,N/A,1,Washington,DC,20002,38.89853102,-76.97200016,2,1,1,2,$135.00,,,1,1125,1
71%,100%,2,Washington,DC,20002,38.90282245,-76.98273385,2,1,1,1,$59.00,,,2,1125,26
100%,100%,2,Washington,DC,20002,38.91087382,-76.9864179,3,1,1.5,2,$94.00,,$25.00,2,31,15
100%,100%,1,Washington,DC,20002,38.90383783,-76.98910555,4,1,1,2,$99.00,$100.00,$40.00,1,31,18
90%,60%,1,Washington,DC,20002,38.90221357,-76.98836629,2,1,2,1,$70.00,,,2,1125,14
100%,100%,1,Washington,DC,20002,38.9060677,-76.99146697,5,2,1,2,$140.00,$150.00,$65.00,2,1125,11
100%,N/A,1,Washington,DC,20002,38.91130815,-76.98668878,4,1,1,2,$95.00,,,1,1125,0
71%,100%,2,Washington,DC,20002,38.90190421,-76.9848273,4,1,1,2,$71.00,,,2,1125,27
60%,75%,1,Washington,DC,20002,38.90266668,-76.98440497,2,1,1,1,$74.00,$500.00,,1,1125,3
100%,N/A,1,Washington,DC,20002,38.90855561,-76.99964393,2,1,1.5,1,$129.00,$500.00,$50.00,3,1125,11
N/A,N/A,1,Washington,DC,20002,38.90460102,-76.98168089,2,1,1,1,$150.00,$125.00,$30.00,1,4,0
96%,90%,4,Washington,DC,20002,38.9020301,-76.98616831,2,1,1,1,$70.00,$95.00,$25.00,1,1125,4
95%,100%,1,Washington,DC,20002,38.9095799,-76.98153996,3,1,1,1,$60.00,,,1,1125,6
100%,100%,1,Washington,DC,20002,38.91230045,-76.98556886,2,1,1.5,1,$79.00,,$15.00,1,32,7
100%,100%,1,Washington,DC,20002,38.90768938,-76.98717481,2,1,1,1,$79.00,,$20.00,1,1125,75
84%,100%,2,Washington,DC,20002,38.90239901,-76.98619349,2,1,1,1,$120.00,$100.00,$30.00,2,15,8
100%,100%,1,Washington,DC,20002,38.90350272,-76.98869642,2,1,1,1,$75.00,$200.00,,2,90,8
50%,57%,1,Washington,DC,20002,38.90046283,-76.9800911,2,1,1,1,$120.00,,,3,16,19
84%,100%,2,Washington,DC,20002,38.90310181,-76.98529019,8,4,4,5,$350.00,$100.00,$150.00,1,15,20
100%,88%,1,Washington,DC,20002,38.90848959,-76.98632236,2,1,1,1,$85.00,,,1,3,5
100%,50%,2,Washington,DC,20002,38.90336001,-76.98918127,2,1,1,1,$75.00,$100.00,,2,1125,4
100%,95%,3,Washington,DC,20002,38.90611773,-76.98887309,12,5,2,5,$215.00,$100.00,$135.00,2,1825,34
90%,100%,1,Washington,DC,20002,38.90395062,-76.98952091,2,1,1,1,$96.00,$100.00,$25.00,2,1125,54
N/A,N/A,1,Washington,DC,20002,38.90172055,-76.98620622,6,2,2,3,$165.00,$200.00,$40.00,3,1125,1
100%,100%,1,Washington,DC,20002,38.90575088,-76.99598609,7,3,2,4,$239.00,$300.00,$125.00,3,180,30
100%,100%,1,Washington,DC,20002,38.90599254,-76.9963467,2,1,1,1,$72.00,$250.00,,4,1125,24
100%,97%,1,Washington,DC,20002,38.90257323,-76.98116707,2,1,1,1,$60.00,,,1,5,23
82%,57%,2,Washington,DC,20002,38.90048122,-76.98361281,2,1,1,2,$90.00,$200.00,$60.00,1,60,33
